Set Number,Quantity,Person,Theme ID,Theme Name,Year,Num of Pieces
10698-1,1,Abbie,621,Classic,2015,790
60002-1,1,Abbie,58,Fire,2013,209
41062-1,1,Abbie,687,Frozen,2015,292
60134-1,1,Della,52,City,2016,159
41094-1,1,Abbie,494,Friends,2015,475
60090-1,1,Della,52,City,2015,42
41055-1,1,Abbie,579,Disney Princess,2014,647
41116-1,1,Abbie,494,Friends,2016,185
10245-1,1,Amanda,228,Creator,2014,884
41150-1,1,Abbie,579,Disney Princess,2016,307
41149-1,1,Abbie,579,Disney Princess,2016,205
41303-1,1,Abbie,494,Friends,2017,62
70621-1,1,Della,435,Ninjago,2017,83
70612-1,1,Della,616,Ninjago The Movie,2017,544
21312-1,1,Abbie,576,LEGO Ideas and CUUSOO,2017,231
41335-1,1,Della,494,Friends,2018,351
41152-1,1,Abbie,579,Disney Princess,2018,322
41191-1,1,Della,600,Elves,2018,205
41192-1,1,Abbie,600,Elves,2018,360
75954-1,1,Abbie,246,Harry Potter,2018,882
76102-1,1,Abbie,702,Avengers,2018,229
41156-1,1,Della,579,Disney Princess,2018,156
41157-1,1,Della,579,Disney Princess,2018,323
41196-1,1,Della,600,Elves,2018,883
70653-1,1,Della,435,Ninjago,2018,892
70655-1,1,Della,435,Ninjago,2018,1669
70658-1,1,Della,435,Ninjago,2018,530
75956-1,1,Abbie,246,Harry Potter,2018,500
75953-1,1,Abbie,246,Harry Potter,2018,730
75955-1,1,Abbie,246,Harry Potter,2018,806
75950-1,1,Abbie,246,Harry Potter,2018,157
30407-1,1,Abbie,246,Harry Potter,2018,40
70669-1,1,Della,435,Ninjago,2019,587
70670-1,1,Della,435,Ninjago,2019,1080
76127-1,1,Abbie,696,Super Heroes Marvel,2019,307
41375-1,1,Della,494,Friends,2019,1267
41374-1,1,Abbie,494,Friends,2019,468
75945-1,1,Abbie,246,Harry Potter,2019,121
75946-1,1,Abbie,246,Harry Potter,2019,265
75947-1,1,Abbie,246,Harry Potter,2019,496
75948-1,1,Abbie,246,Harry Potter,2019,926
75957-1,1,Abbie,246,Harry Potter,2019,403
75958-1,1,Abbie,246,Harry Potter,2019,431
10899-1,1,Abbie,640,Disney Princess,2019,59
41168-1,1,Abbie,687,Frozen,2019,301
70428-1,1,Della,676,Hidden Side,2020,171
71707-1,1,Della,435,Ninjago,2020,226
41250-1,1,Della,682,Trolls: World Tour,2020,173
40382-1,1,Abbie,206,Seasonal,2020,141
75317-1,1,Abbie,610,Brickheadz,2020,295
71721-1,1,Della,435,Ninjago,2020,1017
75966-1,1,Abbie,246,Harry Potter,2020,194
75967-1,1,Abbie,246,Harry Potter,2020,254
75969-1,1,Abbie,246,Harry Potter,2020,971
75979-1,1,Abbie,246,Harry Potter,2020,630
75980-1,1,Abbie,246,Harry Potter,2020,1052
10280-1,1,Amanda,721,Icons,2021,756
10281-1,1,Amanda,721,Icons,2021,878
10289-1,1,Amanda,721,Icons,2021,1173
76392-1,1,Abbie,246,Harry Potter,2021,873
76386-1,1,Abbie,246,Harry Potter,2021,215
76388-1,1,Abbie,246,Harry Potter,2021,847
76389-1,1,Abbie,246,Harry Potter,2021,1172
10293-1,1,Amanda,227,Christmas,2021,1445
30580-1,1,Della,228,Creator,2021,69
76397-1,1,Abbie,246,Harry Potter,2022,257
43207-1,1,Margot,579,Disney Princess,2022,503
76408-1,1,Abbie,246,Harry Potter,2022,1086
76406-1,1,Della,246,Harry Potter,2022,671
21151-1,1,Della,577,Minecraft,2019,222
41069-1,1,Abbie,640,Disney Princess,2016,70
41144-1,1,Della,640,Disney Princess,2017,75
21165-1,1,Della,577,Minecraft,2020,238